	MA2-THAI3 HOK-IM TOAN7
7 Tui3 an2-ni, Hi-lut8 am3-chiN7 tiau3 phok-su7, tui3 in siong5-se3 chha5 hit e5 chhiN chhut-hian7 e5 si5.  8 Chiu7 chhe in khi3 Pek-li7-heng5 kong2, Lin2 khi3 siong5-se3 tham3-thiaN hit e5 eN-a2 e5 su7; chhe7-tioh8 chiu7 lai5 ka7 goa2 kong2, hou7 goa2 ia7 thang khi3 pai3 I.  9 In thiaN ong5 e5 oe7 chiu7 khi3; hut-jian5 tang-hng sou2 khoaN3-kiN3 e5 chhiN choe3 thau5 chhoa7 in, kau3 eN-a2 e5 sou2-chai7, chiu7 hioh ti7 hit teng2-bin7.  10 In khoaN3-kiN3 hit e5 chhiN, hoaN-hi2 kau3 boe7 kou3-tit.  11 Jip8 chhu3, khoaN3-kiN3 eN-a2 kap I e5 lau7-bu2 Ma2-li7-a; chiu7 phak-loh8 pai3 eN-a2; khui in e5 po2-ah8, hian3 le2-mih8 hou7 I, chiu7-si7 ng5-kim, ju2-hiuN, but8-ioh8.  12 Koh ti7 bin5-bang7-tiong tit-tioh8 chi2-tiam2, kah in m7 thang to3-tng2 khi3 chiu7-kun7 Hi-lut8, chiu7 tui3 pat8 tiau5 lou7 to3-khi3 pun2 sou2-chai7.
	13 In to3-khi3 liau2, u7 Chu2 e5 thiN-sai3 ti7 Iok-sek bin5-bang7-tiong chhut-hian7 kong2, Khi2-lai5, chhoa7 eN-a2 kap I e5 lau7-bu2, chau2 khi3 Ai-kip8, toa3 hia kau3 goa2 ka7 li2 kong2; in-ui7 Hi-lut8 beh chhe7 eN-a2 lai5 biat8 I.  14 I chiu7 khi2-lai5, thau3-mi5 chhoa7 eN-a2 kap I e5 lau7-bu2 khi3 Ai-kip8.;  toa3 hia kau3 Hi-lut8 si2;  15 si7 beh eng3-giam7 Chu2 thok sian-ti sou2 kong2 e5,  kong2, Goa2 bat tiau3 goa2 e5 kiaN2 chhut Ai-kip8.
	16 Hit si5 Hi-lut8 chai hou7 phok-su7 siat-khi3, chiu7 toa7 siu7-khi3, chhe lang5 chiong Pek-li7-heng5 kap chiu-ui5 sou2 u7 e5 ta-pou gin2-na2, chiau3 i tui3 phok-su7 siong5-se3 chha5 e5 si5, hoan7-na7 nng7 he3 i2-ha7 e5 it-chin7 thai5.  17 An2-ni eng3-giam7 cha2 thok sian-ti Ia5-li7-bi2 sou2 kong2 e5, kong2,
	18 Ti7 Liap8-ma2 thiaN-kiN3 siaN,
	Thi5-khau3 koh toa7 siong-pi,
	Liap8-kiat khau3 i e5 kiaN2-ji5;
	M7 goan7 siu7 an-ui3, in-ui7 in bo5--khi3.
	19 Hi-lut8 i2-keng si2, Chu2 e5 thiN-sai3 ti7 Ai-kip8, ti7 Iok-sek bin5-bang7-tiong chhut-hian7 kong2,  20 Khi2-lai5, chhoa7 eN-a2 kap I e5 lau7-bu2 khi3 I2-sek-liat8 toe7; in-ui7 hiah-e5 ai3 hai7 eN-a2 e5 siN3-mia7 e5 i2-keng si2 lah.  21 I chiu7 khi2-lai5, chhoa7 eN-a2 kap I e5 lau7-bu2 kau3 I2-sek-liat8 toe7.  22 Chong2-si7 thiaN-kiN3 A-ki-lo2 soa3-chiap i e5 lau7-pe7 Hi-lut8 ti7 Iu5-thai3 choe3 ong5, chiu7 m7 kaN2 khi3 hia; ki3-jian5 ti7 bin5-bang7-tiong tit-tioh8 chi2-tiam2, chiu7 the3-khi3 Ka-li7-li7 e5 keng2-lai7.  23 Kau3 chit8 e5 siaN5, mia5 Na2-sat-lek8, tiam3 hia khia7-khi2; si7 beh eng3-giam7 cha2 thok chiah e5 sian-ti sou2 kong2 e5 kong2, I beh kio3 choe3 Na2-sat-lek8 lang5.

3	 Tng hit si5, kiaN5 soe2-le2 e5 Iok-han7 lai5, ti7 Iu5-thai3 e5 khong3-ia2 soan-thoan5 kong2,  2 Lin2 tioh8 hoan2-hoe2; in-ui7 thian-kok kun7 lah.  3 Chit lang5 chiu7-si7 Chu2 thok sian-ti I2-sai3-a sou2 chi2 e5, kong2, 
	U7 teh kio3 ti7 khong3-ia2 e5, i e5 siaN kong2,
	Pi7-pan7 Chu2 e5 lou7,
	Siu tit8 I e5 sio2-lou7.
4 Chit e5 Iok-han7 chheng7 lok8-to5-mng5 e5 saN, io ha5 phe5-toa3; i sou2 chiah8 si7 chhau2-meh kap soaN-ia2 e5 bit8.  5 Hit si5 Ia5-lou7-sat-leng2 kap thong Iu5-thai3, i2-kip8 Iok-tan3 si3-hng e5 cheng3 lang5 chhut-lai5 chiu7-kun7 i;  6 ti7 Iok-tan3 ho5 tui3 i siu7 soe2-le2, jin7 in e5 choe7.  7 Iok-han7 khoaN3-kiN3 Hoat-li7-sai3 kap Sat-thou2-kai lang5, choe7-choe7 chiu7-kun7 i e5 soe2-le2, chiu7 ka7 in kong2, Tok8-choa5 e5 lui7 ah, chi7-chui7-a2 chi2-si7 lin2 siam2-pi7 chiong-lai5 e5 siu7-khi3 ah?  8 Sou2-i2 lin2 tioh8 kiat hit ho7 hap8 ti7 hoan2-hoe2 e5 ke2-chi2.  9 Boh8-tit ka-ki7 phah-sng3 kong2, U7 A-pek-lah8-han2 choe3 goan2 e5 pe7; in-ui7 goa2 ka7 lin2 kong2, Siong7-te3 oe7 tui3 chiah e5 chioh8-thau5 chhut kiaN2-sun hou7 A-pek-lah8-han2.  10 TaN pou2-thau5 i2-keng he7 ti7 chhiu7-thau5; kiN3-na7 chhiu7 bo5 kiat ho2 ke2-chi2 e5, chiu7 chho3 i, hiat-loh8 he2.  11 Goa2 eng7 chui2 ka7 lin2 kiaN5 soe2-le2, beh hou7 lin2 hoan2-hoe2; na7-si7 te3-be2 goa2 lai5 e5, pi2 goa2 khah u7 koan5-leng5, I e5 oe5 goa2 iah8 boe7 kham-tit theh8; I beh eng7 Seng3 Sin5 kap he2 ka7 lin2 soe2.  12 I e5 chhiu2 theh8 poa3-ki, beh chiong hit tiuN5 it-chin7 poa3, siu I e5 beh8 jip8 chhng; na7-si7 beh8-hiuN7 chiu7 eng7 boe7 hoa e5 he2 sio i.
	13 Hit si5 Ia5-sou tui3 Ka-li7-li7 kau3 Iok-tan3, chiu7-kun7 Iok-han7, beh tui3 i siu7 soe2-le2.  14 Na7-si7 Iok-han7 chou2-chi2 I kong2, Goa2 hap8-kai tui3 li2 siu7 soe2-le2, li2 hoan2-tng2 chiu7-kun7 goa2 mah?  15 Ia5-sou in3 i kong2, TaN chhiaN2 un2 goa2, in-ui7 lan2 hap8-gi5 tioh8 an2-ni, lai5 chin7 long2-chong2 e5 gi7. Chiu7 un2 I.  16 Ia5-sou i2-keng siu7 soe2-le2, liam5-piN tui3 chui2 chiuN7-lai5: thiN hut-jian5 ui7-tioh8 I khui, I chiu7 khoaN3-kiN3 Siong7-te3 e5 Sin5, chhin-chhiuN7 chiN2-a2 kang3-lim5 ti7 I e5 teng2-bin7.  17 Koh tui3 thiN u7 siaN kong2, Chit-e5 si7 goa2 thiaN3 e5 KiaN2, goa2 sou2 hoaN-hi2 e5.

4	Hit si5 Ia5-sou hou7 Seng3 Sin5 chhoa7 kau3 khong3-ia2, beh siu7 Mou5-kui2 chhi3.  2 I2-keng kim3-chiah8 si3-chap8 jit8-mi5, au7-lai5 chiu7 iau.  3 Chhi3-e5 oa2-lai5 ka7 I kong2, Li2 na7 si7 Siong7-te3 e5 KiaN2, chiu7 kah chiah e5 chioh8 piN3 choe3 piaN2.  Na7-si7 I in3 kong2,  4 U7 ki3-chai3 kong2, Lang5 e5 oah8, m7 na7 oa2-kho3 piaN2, chiu7-si7 oa2-kho3 tui3 Siong7-te3 e5 chhui3 sou2 chhut long2-chong2 e5 oe7.  5 Mou5-kui2 chiu7 chhoa7 I kau3 seng3 siaN5, hou7 I khia7 ti7 tian7 e5 be2-liu, ka7 I kong2,  6 Li2 na7 si7 Siong7-te3 e5 KiaN2, tioh8 ka-ki7 tio5-loh8-khi3; in-ui7 u7 ki3-chai3 kong2,
	I beh ui7-tioh8 li2 beng7-leng7 I e5 thiN-sai3,
	In beh eng7 chhiu2 hu5 li2,
	Bian2-tit li2 e5 kha tak-tioh8 chioh8.
7 Ia5-sou ka7 i kong2, Koh u7 ki3-chai3 kong2, Boh8-tit chhi3 Chu2 li2 e5 Siong7-te3.  8 Mou5-kui2 koh chhoa7 I chiuN7 kek8 koaiN5 e5 soaN, eng7 thiN-e7 ban7 kok kap in e5 eng5-kng hou7 I khoaN3;  9 ka7 I kong2, Li2 na7 phak-loh8 pai3 goa2, chiah-e5 goa2 long2 hou7 li2.  10 Ia5-sou chiu7 ka7 i kong2, Sat-tan3, the3-khi3; in-ui7 u7 ki3-chai3 kong2, Tioh8 pai3 Chu2, li2 e5 Siong7-te3; tok8-tok8 hok8-sai7 I na7-tiaN7.  11 Tui3 an2-ni Mou5-kui2 li7-khui I; u7 thiN-sai3 kau3, lai5 su-hau7 I.
	12 Ia5-sou thiaN-kiN3 Iok-han7 koaiN-kaN, chiu7 the3-khi3 Ka-li7-li7;  13 li7-khui Na2-sat-lek8, khi3 Ka-pek-long5 khia7-khi2; chit sou2-chai7 ti7 hai2-piN, ti7 Se-pou3-lun5 kap Lap8-tai7-li7 e5 kau-kai3;  14 si7 beh eng3-giam7 cha2 thok sian-ti I2-sai3-a sou2 kong2 e5, kong2,
	15 Se-pou3-lun5 e5 toe7, Lap8-tai7-li7 e5 toe7,
	Ian5 hai2-kiN5 e5 lou7, Iok-tan3 e5 ho5 goa7,
	Goa7-pang e5 Ka-li7-li7;
	16 Che7 ti7 ou-am3 e5 peh-siN3,
	Bat khoaN3-kiN3 toa7 kng;
	Che7 ti7 si2-im3 e5 toe7 e5,
	U7 kng khi2-lai5 chio3 in.
	17 Tui3 hit si5 Ia5-sou khi2-thau5 soan-thoan5 kong2, Lin2 tioh8 hoan2-hoe2, in-ui7 thian-kok kun7 lah.
	18 Ia5-sou kiaN5 ti7 Ka-li7-li7 e5 hai2-kiN5; khoaN3-kiN3 nng7 e5 hiaN-ti7-a2, chiu7-si7 Se-bun5, kio3 choe3 Pi2-tek, kap i e5 hiaN-ti7 An-tek-liat8, pha bang7 ti7 hai2-nih8, in-ui7 si7 tho2-hi5 lang5.  19 I chiu7 ka7 in kong2, Lai5 te3 goa2, goa2 beh hou7 lin2 tit-tioh8 lang5 chhin-chhiuN7 tho2-hi5 e5.  20 In liam5-piN li7-khui bang7, lai5 te3 I.  21 Tui3 chia chin3-cheng5, koh khoaN3-kiN3 nng7 e5 hiaN-ti7-a2, chiu7-si7 Se-pi2-thai3 e5 kiaN2 Nga2-kok kap i e5 hiaN-ti7 Iok-han7, kap in lau7-pe7 Se-pi2-thai3 ti7 chun5-nih8 teh pou2 bang7; Ia5-sou chio in.  22 In liam5-piN li7-khui chun5, pai3-piat8 in e5 lau7-pe7, lai5 te3 I.
	23 Ia5-sou pian3 kiaN5 Ka-li7-li7, ti7 in e5 hoe7-tng5 ka3-si7, soan-thaon5 thian-kok e5 hok-im, i-ho2 peh-siN3-kan tak8 iuN7 e5 cheng3-thau5, kap tak8 iuN7 e5 piN7-thiaN3.  24 I e5 mia5-siaN po3-iong5 kau3 thong Su7-li7-a; hoan7 u7 ti3 piN7 e5, tu2-tioh8 choe7-choe7 iuN7 e5 cheng3-thau5 kap thang3-thiaN3 e5, hoan7-tioh8 kui2 e5, iuN5-hin5 e5, pian3-sui7 e5, chhoa7 in long2 lai5 chiu7-kun7 I, I chiu7 i-ho2 in.  25 Hit si5, tui3 Ka-li7-li7, Te-ka-pho-li7, Ia5-lou7-sat-leng2, Iu5-thai3, kap Iok-tan3 goa7, u7 choe7-choe7 tin7 e5 lang5 lai5 te3 I.

5	Ia5-sou khoaN3-kiN3 hiah e5 kui-tin7 e5 lang5, chiu7 peh-chiuN7 soaN; i2-keng che7, I e5 hak8-seng chiu7-kun7 I.  2 I khui chhui3 ka3-si7 in kong2,  3 Sim-lai7 song3-hiong e5 lang5 u7 hok-khi3, in-ui7 thian-kok si7 in e5.  4 Iu-bun7 e5 lang5 u7 hok-khi3, in-ui7 in beh siu7 an-ui3.  5 Un-jiu5 e5 lang5 u7 hok-khi3, in-ui7 in beh seng5-chiap thou2-toe7.  6 Iau chhui3-ta him-bou7 gi7 e5 lang5 u7 hok-khi3, in-ui7 in beh tit-tioh8 pa2.  7 Lin5-bin2 lang5 e5 lang5 u7 hok-khi3, in-ui7 in beh tit-tioh8 lin5-bin2.  8 Chheng-khi3 sim-koaN e5 lang5 u7 hok-khi3, in-ui7 in beh khoaN3-kiN3 Siong7-te3.  9 Hou7 lang5 ho5-peng5 e5 lang5 u7 hok-khi3, in-ui7 in beh chheng choe3 Siong7-te3 e5 kiaN2.  10 Ui7-tioh8 gi7 bat siu7 khun2-tiok8 e5 lang5 u7 hok-khi3, in-ui7 thian-kok si7 in e5.  11 Ui7-tioh8 goa2, lang5 chiah loe2-me7 lin2, khun2-tiok8 lin2, hui2-pong3 lin2 ban7 hang7 e5 phaiN2, lin2 chiu7 u7 hok-khi3.  12 Tioh8 hoaN-hi2 khoai3-lok8, in-ui7 lin2 ti7 thiN-nih8 e5 po3-siuN2 si7 toa7; in-ui7 lin2 i2-cheng5 e5 sian-ti lang5, lang5 iah8 an2-ni khun2-tiok8 in.
	13 Lin2 si7 toe7-chiuN7 e5 iam5; iam5 na7 sit bi7, beh eng7 sim2-mih8 hou7 i kiam5?  Au7-lai5 bo5 lou7-eng7, put-ko3 hiat ti7 goa7-bin7, hou7 lang5 thun2-tah8 na7-tiaN7.  14 Lin2 si7 se3-kan e5 kng; siaN5 khi2 ti7 soaN-teng2 boe7-oe7 un2-bat8.  15 Bo5 lang5 tiam2 teng he7 ti7 tau2 e7, chiu7-si7 he7 ti7 teng-tai5 teng2, chiu7 pian3 chio3 chhu3-lai7 e5 lang5.  16 An2-ni lin2 e5 kng tioh8 chio3 ti7 lang5 e5 bin7-cheng5, hou7 in khoaN3-kiN3 lin2 e5 ho2 sou2 kiaN5, lai5 kui eng5-kng hou7 lin2 ti7 thiN-nih8 e5 Pe7.
	17 Boh8-tit phah-sng3 goa2 lai5 si7 beh hoe3-bo5 lut8-hoat a2-si7 sian-ti; goa2 lai5 m7 si7 beh hoe3-bo5, si7 beh eng3-giam7.  18 In-ui7 goa2 sit8-chai7 ka7 lin2 kong2,  Chiu7 kau3 thiN toe7 hoe3-bo5, lut8-hoat e5 chit8 tiam2 chit8 uih8 iah8 koat-toan3 boe7 hoe3-bo5, kau3 long2-chong2 chiaN5.  19 Sou2-i2 kiN3-na7 hui2-hoai7 chiah e5 kai3-beng7 chi3-bi5-soe3 e5 chit8 tiau5, soa3 an2-ni ka3-si7 lang5 e5, ti7 thian-kok beh chheng i choe3 chi3-bi5-soe3; tok8-tok8 kiN3-na7 kiaN5 soa3 ka3-si7 lang5 e5, ti7 thian-kok beh chheng i choe3 toa7.  20 In-ui7 goa2 ka7 lin2 kong2, siat-su2 lin2 e5 gi7 bo5 iaN5-ke3 keng-hak8-su7 kap Hoat-li7-sai3 lang5 e5 gi7, koat-toan3 boe7-tit jip8 thian-kok.
	21 Lin2 bat thiaN-kiN3 u7 tui3 kou2-cha2 lang5 kong2, M7 thang hai7-si2 lang5; hai7-si2 lang5 e5 tioh8 siu7 sim2-phoaN3.  22 Chong2-si7 goa2 ka7 lin2 kong2, kiN3-na7 siu7-khi3 i e5 hiaN-ti7 e5, tioh8 siu7 sim2-phoaN3; kiN3-na7 tui3 i e5 hiaN-ti7 kong2 Liap8-ka e5, tioh8 siu7 kong-hoe7 pan7; kiN3-na7 kong2 Mou5-li7 e5, tioh8 siu7 te7-gek8 e5 he2.  23 Sou2-i2 li2 na7 teh hian3 li2 e5 le2-mih8 ti7 che3-toaN5, ia7 ti7 hia ki3-tit li2 e5 hiaN-ti7 u7 sim2-mih8 hiap8-hiam5 li2;  24 tioh8 ti7 hia pang3-he7 li2 e5 le2-mih8 ti7 toaN5-cheng5, tai7-seng khi3 kap li2 e5 hiaN-ti7 ho5-ho2, jian5-au7 lai5 hian3 li2 e5 le2-mih8.  25 Li2 iau2 kap li2 e5 tui3-tek8 ti7 lou7-nih8, tioh8 kin2-kin2 kap i ho5, kiaN-liau2 tui3-tek8 kau li2 hou7 sim2-phoaN3 koaN, sim2-phoaN3 koaN kau li2 hou7 ge5-iah8, li2 chiu7 siu7 koaiN loh8 kaN.  26 Goa2 sit8-chai7 ka7 li2 kong2, Chit8 si chit8 ho5 be7 heng5, li2 koat-toan3 boe7-oe7 chhut hia.
	27 Lin2 bat thiaN-kiN3 u7 oe7 kong2, M7 thang kiaN5 kan-im5;  28 na7-si7 goa2 ka7 lin2 kong2, kiN3-na7 khoaN3-kiN3 hu7-lu2, lai5 tong7-khi2 iok8-liam7 e5, sim-lai7 i2-keng im5 i.  29 Siat-su2 li2 e5 chiaN3 bak8 ti3-kau3 li2 hoan7-choe7, chiu7 tioh8 iah hiat-kak8; leng5-khou2 pah-the2 song3-sit chit8 the2, bian2-ti3 li2 choan5-sin hiat-loh8 te7-gek8.  30 Siat-su2 li2 e5 chiaN3 chhiu2 ti3-kau3 li2 hoan7-choe7, chiu7 tioh8 cham7 hiat-kak8; leng5-khou2 pah-the2 song3-sit chit8 the2, bian2-ti3 li2 choan5-sin khi3 te7-gek8.  31 Koh u7 oe7 kong2, Lang5 na7 beh li5 i e5 bou2, tioh8 eng7 li5-chu hou7 i;  32 na7-si7 goa2 ka7 lin2 kong2, kiN3-na7 m7 si7 ui7-tioh8 kan-im5 e5 ian5-kou3 lai5 li5 i e5 bou2, pian7 si7 hou7 i choe3 u7 im5-heng7 e5; kiN3-na7 chhoa7 sou2 li5 e5, iah8 si7 kiaN5 kan-im5.
	33 Koh lin2 bat thiaN-kiN3 u7 tui3 kou2-cha2 lang5 kong2, M7 thang poe7 chiu3-choa7, li2 sou2 chiu3 e5 choa7, tioh8 heng5 hou7 Chu2;  34 na7-si7 goa2 ka7 lin2 kong2, It-khai3 boh8-tit chiu3-choa7; boh8-tit ki2 thiN, in-ui7 thiN si7 Siong7-te3 e5 cho7-ui7;  35 boh8-tit ki2 toe7, in-ui7 toe7 si7 I e5 kha-tah8; boh8-tit ki2 Ia5-lou7-sat-leng2, in-ui7 si7 toa7 Jin5-kun e5 siaN5.  36 Iah8 boh8-tit ki2 li2 e5 thau5-khak lai5 chiu3-choa7, in-ui7 chit8 ki thau5-mng5, li2 boe7 hou7 i choe3 ou choe3 peh8.  37 Na7-si7 lin2 e5 oe7 tioh8 kong2, Si7, chiu7 Si7; M7 si7, chiu7 M7 si7; chiah-e5 i2-goa7 si7 tui3 hit e5 phaiN2-e5 chhut.
	38 Lin2 bat thiaN-kiN3 u7 oe7 kong2, Bak8-chiu pe5 bak8-chiu, chhui3-khi2 pe5 chhui3-khi2;   39 na7-si7 goa2 ka7 lin2 kong2, Boh8-tit kap phaiN2 ti2-tek8; na7 u7 lang5 sian3 li2 chiaN3-peng5 e5 chhui3-phoe2, to3-peng5-e5 iah8 oat8 hou7 i.  40 U7 lang5 ai3 ko3 li2, theh8 li2 e5 lai7-saN, goa7-saN iah8 pang3 hou7 i.  41 U7 lang5 bian2-kiong2 li2 kiaN5 chit8 li2, chiu7 kap i kiaN5 nng7 li2.  42 Tui3 li2 kiu5 e5, hou7 i; beh ka7 li2 chioh e5, boh8-tit oat8-chau2.
	43 Lin2 bat thiaN-kiN3 u7 oe7 kong2, Tioh8 thiaN3 li2 e5 chhu3-piN, oan3-hun7 li2 e5 tui3-tek8;  44 na7-si7 goa2 ka7 lin2 kong2, Tui3-tek8 lin2 e5, tioh8 thiaN3 in; khun2-tiok8 lin2 e5, tioh8 thoe3 in ki5-to2;  45 hou7 lin2 chiaN5-choe3 lin2 ti7 thiN-nih8 e5 Pe7 e5 kiaN2; in-ui7 I hou7 I e5 jit8 khi2 lai5 chio3 phaiN2 lang5 kap ho2 lang5, iah8 eng7 hou7 ak gi7 kap put-gi7 e5 lang5.  46 In-ui7 lin2 na7 thiaN3 thiaN3 lin2 e5, u7 sim2-mih8 po3-siuN2? hiah e5 thiu-hiong3 e5 kiam2 bo5 an2-ni kiaN5 mah?  47 Lin2 kan-ta chheng2-an lin2 e5 hiaN-ti7, u7 sim2-mih8 khah-iaN5 lang5? goa7-pang lang5 kiam2 bo5 an2-ni kiaN5 mah?  48 Sou2-i2 lin2 tioh8 sun5-choan5, chhin-chhiuN7 lin2 e5 ThiN Pe7 e5 sun5-choan5.

6	 Kin2-sin7 boh8-tit ti7 lang5 e5 bin7-cheng5 kiaN5 lin2 e5 gi7, kou3-i3 hou7 in khoaN3-kiN3; na7 an2-ni, chiu7 bo5 tit-tioh8 po3-siuN2 ti7 lin2 thiN-nih8 e5 Pe7.
	2 Sou2-i2 li2 chin2-che3 e5 si5, boh8-tit ti7 li2 e5 bin7-cheng5 pun5 ho7-thau5, chhin-chhiuN7 ke2-ho2 e5 lang5 ti7 hoe7-tng5 kap koe-lou7 sou2 choe3 e5, ai3 lang5 eng5-kng in.  Goa2 sit8-chai7 ka7 lin2 kong2, In i2-keng siu7-tioh8 in e5 po3-siuN2 lah.  3 Tok8-tok8 li2 chin2-che3 e5 si5, boh8-tit hou7 li2 e5 to3-chhiu2 chai li2 e5 chiaN3-chhiu2 e5 sou2 choe3;  4 hou7 li2 e5 chin2-che3 un2-bat8; chiu7 li2 e5 Pe7, kam3-chhat ti7 un2-bat8 e5, beh po3-tap li2.
	5 Lin2 ki5-to2 e5 si5, boh8-tit chhin-chhiuN7 ke2-ho2 e5 lang5; in-ui7 in ai3 khia7 ti7 hoe7-tng5 kap toa7 koe-bin7 e5 oat-kak ki5-to2, beh hou7 lang5 khoaN3-kiN3.  Goa2 sit8-chai7 ka7 lin2 kong2, In i2-keng siu7-tioh8 in e5 po3-siuN2 lah.  6 Tok8-tok8 li2 ki5-to2 e5 si5, tioh8 jip8 li2 e5 bat8-pang5, koaiN mng5, kiu5 li2 e5 Pe7, tiam3 ti7 un2-bat8 e5; chiu7 li2 e5 Pe7, kam3-chhat ti7 un2-bat8 e5, beh po3-tap li2.
